person_age,person_income,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
23,26784,4.0,DEBTCONSOLIDATION,E,4144,18.99,0.1547,N,1,0
62,36398,3.0,PERSONAL,A,5877,5.1,0.1615,N,40,0
55,56931,4.0,MEDICAL,D,5285,16.48,0.0928,N,32,0
43,34697,2.0,MEDICAL,A,1941,7.67,0.0559,N,21,0
42,42061,2.0,EDUCATION,A,8615,6.26,0.2048,N,24,0
66,62489,3.0,PERSONAL,D,8821,15.48,0.1412,N,45,0
22,40464,8.0,EDUCATION,A,13796,7.38,0.3409,N,1,0
57,55510,5.0,PERSONAL,D,12661,16.01,0.2281,Y,38,1
29,117712,7.0,PERSONAL,E,2938,19.15,0.025,N,9,0
23,44599,2.0,PERSONAL,A,2983,6.56,0.0669,N,4,0
48,93773,4.0,HOMEIMPROVEMENT,E,6405,20.53,0.0683,Y,30,1
73,66679,6.0,PERSONAL,B,11450,8.56,0.1717,N,45,0
59,21873,6.0,EDUCATION,C,6884,13.15,0.3147,N,37,0
61,26737,4.0,MEDICAL,D,5725,15.97,0.2141,Y,44,1
58,30993,3.0,PERSONAL,C,24866,12.33,0.8023,Y,39,1
62,30633,5.0,MEDICAL,E,14790,18.45,0.4828,N,39,1
47,46645,2.0,MEDICAL,E,16226,19.09,0.3479,N,30,0
25,68737,7.0,HOMEIMPROVEMENT,A,12616,5.06,0.1835,N,8,0
65,97766,6.0,PERSONAL,C,4557,12.85,0.0466,Y,45,1
43,58075,5.0,PERSONAL,B,16515,11.16,0.2844,N,23,0
46,38364,10.0,PERSONAL,A,50000,7.68,1.3033,N,27,0
39,15595,3.0,MEDICAL,B,15140,9.32,0.9708,N,17,0
28,50961,5.0,PERSONAL,A,9212,5.19,0.1808,N,9,0
70,49720,6.0,VENTURE,B,3376,9.69,0.0679,Y,45,1
62,54209,4.0,HOMEIMPROVEMENT,A,5825,6.09,0.1075,N,45,0
54,156128,7.0,MEDICAL,A,16093,5.31,0.1031,N,34,0
40,96986,4.0,EDUCATION,F,15560,22.12,0.1604,Y,23,1
64,75492,5.0,MEDICAL,E,4800,20.91,0.0636,N,45,0
49,28878,6.0,EDUCATION,C,13862,14.43,0.48,N,30,1
43,36969,3.0,HOMEIMPROVEMENT,F,5031,21.87,0.1361,N,25,0
43,46529,3.0,EDUCATION,B,18126,9.25,0.3896,N,22,0
30,32001,4.0,HOMEIMPROVEMENT,B,15146,11.1,0.4733,N,8,0
23,64553,8.0,DEBTCONSOLIDATION,B,19641,10.83,0.3043,N,2,0
49,59653,8.0,EDUCATION,A,7016,7.68,0.1176,N,28,0
68,26941,6.0,HOMEIMPROVEMENT,B,16449,10.15,0.6106,N,45,0
21,94679,6.0,HOMEIMPROVEMENT,B,10724,9.93,0.1133,N,1,0
66,51858,4.0,VENTURE,B,13067,8.78,0.252,N,45,0
65,18939,2.0,HOMEIMPROVEMENT,B,10355,11.26,0.5468,N,43,0
33,47655,5.0,MEDICAL,B,5404,11.13,0.1134,Y,15,0
54,57220,4.0,VENTURE,C,12437,12.59,0.2174,N,37,0
27,83703,3.0,EDUCATION,E,13589,18.16,0.1623,N,6,0
61,40716,3.0,DEBTCONSOLIDATION,D,4568,15.89,0.1122,N,44,0
57,77293,5.0,MEDICAL,B,14760,11.44,0.191,N,39,0
38,54335,5.0,EDUCATION,B,14227,9.87,0.2618,Y,20,0
21,23782,8.0,VENTURE,D,6165,17.08,0.2592,Y,1,1
73,22508,4.0,HOMEIMPROVEMENT,A,11913,7.01,0.5293,N,45,0
43,90890,4.0,HOMEIMPROVEMENT,A,6435,6.75,0.0708,N,23,0
68,94635,4.0,PERSONAL,A,14923,7.5,0.1577,N,45,0
56,58547,8.0,HOMEIMPROVEMENT,B,5318,11.36,0.0908,N,33,0
62,111595,4.0,MEDICAL,A,24991,7.66,0.2239,N,43,0
